"id","name","implementationStage","equipCommand","linkCommand","expectedModifier","knownLimitations","chosenCompatibleSkill","baselineResult","modifiedResult","incompatibleResult","testTime","loadoutRevision","correlationRootInstance","evidenceFiles","notes"
"accelerant","Accelerant","7","/rpg equip passive01 accelerant","/rpg link passive01 skill01","Increase projectile speed by 40% and maximum projectile travel distance by 20%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"aftermath","Aftermath","11","/rpg equip passive01 aftermath","/rpg link passive01 skill01","When the linked persistent effect expires normally, leave a secondary effect with 60% geometry, 40% of the original duration, and 50% effect.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"attunement","Attunement","11","/rpg equip passive01 attunement","/rpg link passive01 skill01","Successful repeated uses within 4 seconds build up to 5 Attunement stacks. Each stack grants \+3% effect magnitude and -3% resource cost to the linked skill.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"ballistics","Ballistics","7","/rpg equip passive01 ballistics","/rpg link passive01 skill01","Reduce projectile speed by 35% but increase projectile effect magnitude by 30%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"barrage","Barrage","7","/rpg equip passive01 barrage","/rpg link passive01 skill01","Fire the linked projectile 3 times sequentially at 60% effect per projectile.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"cascade","Cascade","11","/rpg equip passive01 cascade","/rpg link passive01 skill01","Create two secondary zones/impact areas offset to either side of the primary location. Each secondary uses 60% radius and 45% effect.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"chain","Chain","7","/rpg equip passive01 chain","/rpg link passive01 skill01","After its current enemy-contact continuation resolves, redirect the projectile/effect to up to 2 additional nearby enemies.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"cleaving_edge","Cleaving Edge","11","/rpg equip passive01 cleaving_edge","/rpg link passive01 skill01","Preserve the primary strike at full effect and add an 80-degree, 3 m frontal cleave that hits additional valid enemies at 60% effect.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"combustion","Combustion","11","/rpg equip passive01 combustion","/rpg link passive01 skill01","Reduce direct hit damage by 15%, but increase Burn magnitude by 50% and Burn duration by 25%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"concentrated_venom","Concentrated Venom","11","/rpg equip passive01 concentrated_venom","/rpg link passive01 skill01","Reduce the linked skill's maximum effective Poison stack count by 40% (minimum 1), but increase each Poison stack's magnitude by 75%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"concentration","Concentration","11","/rpg equip passive01 concentration","/rpg link passive01 skill01","Increase linked damage/healing/barrier effect by 30%, but reduce its affected geometry scale by 30%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"conservation","Conservation","9","/rpg equip passive01 conservation","/rpg link passive01 skill01","Reduce Mana reservation or continuous upkeep by 20%, but reduce Aura effect magnitude by 10%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"critical_trigger","Critical Trigger","11","/rpg equip passive01 critical_trigger","/rpg link passive01 skill01","When the linked skill scores a critical hit, repeat its primary execution once at 50% effect after 0.20 seconds. Internal cooldown: 1.5 seconds.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"death_pact","Death Pact","10","/rpg equip passive01 death_pact","/rpg link passive01 skill01","When a linked summon dies or expires, it explodes in a 3 m radius for 60% of the linked summon skill's normal damage-effect power.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"deep_freeze","Deep Freeze","11","/rpg equip passive01 deep_freeze","/rpg link passive01 skill01","Apply \+1 additional Chill stack per successful Chill application, but reduce direct hit damage by 10%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"echo","Echo","6","/rpg equip passive01 echo","/rpg link passive01 skill01","After the primary execution, automatically execute the linked spell a second time after 0.45 seconds at 70% effect. The echo pays no additional resource cost and does not start another cooldown.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"efficiency","Efficiency","11","/rpg equip passive01 efficiency","/rpg link passive01 skill01","Reduce the linked skill's declared spend cost or continuous upkeep by 15%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"executioner","Executioner","11","/rpg equip passive01 executioner","/rpg link passive01 skill01","Deal 35% increased damage to targets below 30% current Health at the instant the damage event is gathered.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"expanded_radius","Expanded Radius","6","/rpg equip passive01 expanded_radius","/rpg link passive01 skill01","Increase the linked skill's radius by 25%, but reduce its damage/healing/barrier magnitude by 10%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"focused_channel","Focused Channel","11","/rpg equip passive01 focused_channel","/rpg link passive01 skill01","Reduce beam/line width by 35% and increase effect magnitude by 30%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"fork","Fork","7","/rpg equip passive01 fork","/rpg link passive01 skill01","When forward Pierce is exhausted, fork the projectile into 2 child projectiles at the next valid enemy contact.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
