"id","name","family","equipCommand","mainHandKinds","offHandKinds","baseResource","baseCost","baseCooldownSeconds","baseWindupSeconds","activationGate","knownLimitations","profileSource","fullRuntimeProfile","positiveResult","negativeResult","cleanupResult","testTime","heldItem","loadoutRevision","correlationRootInstance","evidenceFiles","notes"
"chilling_aura","Chilling Aura","AURA","/rpg equip skill01 chilling_aura","","","MANA","20","3","0","","Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-09-support-cohort-d.json","{""skillId"":""chilling_aura"",""family"":""AURA"",""secondaryFamilies"":[],""allowedMainHandKinds"":[],""requiredOffHandKinds"":[],""resourceType"":""MANA"",""resourceCost"":20,""cooldownSeconds"":3,""windupSeconds"":0,""basePowerSource"":""INNATE"",""innateBasePower"":20,""scaling"":""MAGIC"",""support"":{""kind"":""CHILL_AURA"",""range"":0,""radius"":7,""coefficient"":0.2,""reservationFraction"":0,""toggleLockSeconds"":3,""durationSeconds"":0,""movementIncreased"":0,""upkeepPerSecond"":3,""damageInterval"":1,""chillInterval"":1.5,""element"":""COLD""}}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
"emanatism","Emanatism","AURA","/rpg equip skill01 emanatism","","","NONE","0","2","0","","Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-09-support-cohort-a.json","{""skillId"":""emanatism"",""family"":""AURA"",""allowedMainHandKinds"":[],""resourceType"":""NONE"",""resourceCost"":0,""cooldownSeconds"":2,""basePowerSource"":""NONE"",""innateBasePower"":0,""scaling"":""UTILITY"",""support"":{""kind"":""MANA_REGEN"",""range"":0,""radius"":8,""coefficient"":0.25,""reservationFraction"":0.1,""toggleLockSeconds"":2},""secondaryFamilies"":[],""requiredOffHandKinds"":[],""windupSeconds"":0}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
"managuard","Managuard","AURA","/rpg equip skill01 managuard","","","NONE","0","3","0","","Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-09-support-cohort-a.json","{""skillId"":""managuard"",""family"":""AURA"",""allowedMainHandKinds"":[],""resourceType"":""NONE"",""resourceCost"":0,""cooldownSeconds"":3,""basePowerSource"":""NONE"",""innateBasePower"":0,""scaling"":""UTILITY"",""support"":{""kind"":""MANAGUARD"",""range"":0,""radius"":0,""coefficient"":1,""reservationFraction"":0.5,""toggleLockSeconds"":3},""secondaryFamilies"":[],""requiredOffHandKinds"":[],""windupSeconds"":0}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
"pedanticism","Pedanticism","AURA","/rpg equip skill01 pedanticism","","","NONE","0","3","0","","Native enemy cooldown-progress adapter unavailable; RPG authority only | Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-09-support-cohort-d.json","{""skillId"":""pedanticism"",""family"":""AURA"",""secondaryFamilies"":[],""allowedMainHandKinds"":[],""requiredOffHandKinds"":[],""resourceType"":""NONE"",""resourceCost"":0,""cooldownSeconds"":3,""windupSeconds"":0,""basePowerSource"":""NONE"",""innateBasePower"":0,""scaling"":""UTILITY"",""support"":{""kind"":""COOLDOWN_AURA"",""range"":0,""radius"":8,""coefficient"":0.15,""reservationFraction"":0.2,""toggleLockSeconds"":3,""durationSeconds"":0,""movementIncreased"":0,""upkeepPerSecond"":0,""damageInterval"":0,""chillInterval"":0,""element"":""HOLY""}}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
"reaping_storm","Reaping Storm","AURA","/rpg equip skill01 reaping_storm","STAFF;SPELLBOOK","","MANA","40","35","0","","Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-09-support-cohort-d.json","{""skillId"":""reaping_storm"",""family"":""AURA"",""secondaryFamilies"":[],""allowedMainHandKinds"":[""STAFF"",""SPELLBOOK""],""requiredOffHandKinds"":[],""resourceType"":""MANA"",""resourceCost"":40,""cooldownSeconds"":35,""windupSeconds"":0,""basePowerSource"":""MAGIC_WEAPON"",""innateBasePower"":0,""scaling"":""MAGIC"",""support"":{""kind"":""DAMAGE_AURA"",""range"":0,""radius"":8,""coefficient"":0.7,""reservationFraction"":0,""toggleLockSeconds"":0,""durationSeconds"":8,""movementIncreased"":0,""upkeepPerSecond"":4,""damageInterval"":1,""chillInterval"":0,""element"":""NECROTIC""}}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
"thorns_aura","Thorns Aura","AURA","/rpg equip skill01 thorns_aura","STAFF;SPELLBOOK","","MANA","18","2","0","","Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-09-support-cohort-d.json","{""skillId"":""thorns_aura"",""family"":""AURA"",""secondaryFamilies"":[],""allowedMainHandKinds"":[""STAFF"",""SPELLBOOK""],""requiredOffHandKinds"":[],""resourceType"":""MANA"",""resourceCost"":18,""cooldownSeconds"":2,""windupSeconds"":0,""basePowerSource"":""NONE"",""innateBasePower"":0,""scaling"":""UTILITY"",""support"":{""kind"":""THORNS"",""range"":0,""radius"":6,""coefficient"":0.2,""reservationFraction"":0,""toggleLockSeconds"":2,""durationSeconds"":0,""movementIncreased"":0,""upkeepPerSecond"":2,""damageInterval"":0,""chillInterval"":0,""element"":""PHYSICAL""}}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
"spirit_shield","Spirit Shield","BARRIER","/rpg equip skill01 spirit_shield","STAFF;SPELLBOOK","","MANA","18","14","0","","Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-09-support-cohort-c.json","{""skillId"":""spirit_shield"",""family"":""BARRIER"",""allowedMainHandKinds"":[""STAFF"",""SPELLBOOK""],""requiredOffHandKinds"":[],""secondaryFamilies"":[],""resourceType"":""MANA"",""resourceCost"":18,""cooldownSeconds"":14,""windupSeconds"":0,""basePowerSource"":""NONE"",""innateBasePower"":0,""scaling"":""UTILITY"",""support"":{""kind"":""SHIELD"",""range"":18,""radius"":0,""coefficient"":1.5,""reservationFraction"":0,""toggleLockSeconds"":0,""durationSeconds"":8,""movementIncreased"":0}}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
"life_drain","Life Drain","BEAM","/rpg equip skill01 life_drain","STAFF;WAND","","NONE","0","8","0","","Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-08-connections-cohort-b.json","{""skillId"":""life_drain"",""family"":""BEAM"",""secondaryFamilies"":[],""allowedMainHandKinds"":[""STAFF"",""WAND""],""requiredOffHandKinds"":[],""resourceType"":""NONE"",""resourceCost"":0,""cooldownSeconds"":8,""windupSeconds"":0,""basePowerSource"":""MAGIC_WEAPON"",""scaling"":""MAGIC"",""connection"":{""kind"":""DRAIN"",""range"":18,""width"":0.02,""height"":0.02,""depth"":0,""speed"":0,""lifetimeSeconds"":5,""intervalSeconds"":0.25,""coefficient"":0.55,""upkeepPerSecond"":5,""radius"":0,""originHeight"":1.35,""element"":""NECROTIC"",""details"":{""jumpRadius"":0,""jumpCoefficients"":[],""bladeCount"":0,""degreesPerSecond"":0,""contactCooldown"":0,""healFraction"":0.6,""status"":"""",""statusSeconds"":0}}}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
"void_beam","Void Beam","BEAM","/rpg equip skill01 void_beam","STAFF;WAND","","NONE","0","2","0","","Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-08-connections-cohort-a.json","{""skillId"":""void_beam"",""family"":""BEAM"",""secondaryFamilies"":[],""allowedMainHandKinds"":[""STAFF"",""WAND""],""requiredOffHandKinds"":[],""resourceType"":""NONE"",""resourceCost"":0,""cooldownSeconds"":2,""windupSeconds"":0,""basePowerSource"":""MAGIC_WEAPON"",""scaling"":""MAGIC"",""connection"":{""kind"":""BEAM"",""range"":22,""width"":0.8,""height"":0.8,""depth"":0,""speed"":0,""lifetimeSeconds"":5,""intervalSeconds"":0.25,""coefficient"":0.45,""upkeepPerSecond"":4,""radius"":0,""originHeight"":1.35,""element"":""VOID""}}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
"avalanche","Avalanche","BOMBARDMENT","/rpg equip skill01 avalanche","STAFF;SPELLBOOK","","MANA","45","36","0","","Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-06-area-cohort-c.json","{""skillId"":""avalanche"",""family"":""BOMBARDMENT"",""secondaryFamilies"":[""GROUND_ZONE""],""allowedMainHandKinds"":[""STAFF"",""SPELLBOOK""],""requiredOffHandKinds"":[],""resourceType"":""MANA"",""resourceCost"":45,""cooldownSeconds"":36,""windupSeconds"":0,""basePowerSource"":""MAGIC_WEAPON"",""scaling"":""MAGIC"",""area"":{""geometry"":""DISC"",""height"":3,""status"":"""",""candidateBudget"":256,""radius"":8,""placementRange"":28,""lifetimeSeconds"":6,""intervalSeconds"":1,""impactCount"":6,""firstImpactSeconds"":0.5,""impactRadius"":2.5,""warningSeconds"":0.25,""stratified"":true,""perTargetHitCap"":3,""coefficient"":0.7,""alternatingIceStone"":true,""statusSeconds"":0.5,""element"":""COLD""}}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
