[2026/09/06 16:05:11   INFO] [Hytale] Logger Initialized
[2026/09/06 16:05:12   INFO]           [HytaleServer] Starting HytaleServer
[2026/09/06 16:05:12   INFO]           [HytaleServer] Loading config...
[2026/09/06 16:05:12   INFO]           [HytaleServer] Authentication mode: OFFLINE
[2026/09/06 16:05:12   INFO]      [ServerAuthManager] No server tokens configured. Use /auth login to authenticate, or provide tokens via CLI/environment.
[2026/09/06 16:05:12   INFO]      [ServerAuthManager] Server session ID: e43062fc-c085-4ffa-b123-0080f571739e
WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::objectFieldOffset has been called by com.hypixel.fastutil.ints.Int2ObjectConcurrentHashMap (file:/C:/Users/Zemio/AppData/Roaming/Hytale/install/pre-release/package/game/latest/Server/HytaleServer.jar)
WARNING: Please consider reporting this to the maintainers of class com.hypixel.fastutil.ints.Int2ObjectConcurrentHashMap
WARNING: sun.misc.Unsafe::objectFieldOffset will be removed in a future release
[2026/09/06 16:05:12   INFO]           [HytaleServer] Booting up HytaleServer - Version: 0.7.0-pre.1, Revision: e8b4d191fc98a977bf5546a951a7b25473d323e3
[2026/09/06 16:05:12   INFO]           [HytaleServer] Setup phase...
[2026/09/06 16:05:12   INFO]          [PluginManager] Loading pending core plugins!
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:ConsoleModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:PermissionsModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:UpdateModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:LiveConfigModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:FlyCameraModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:AssetModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:CommonAssetModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:CosmeticsModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:ServerManager
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:I18nModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:ItemModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:BlockTypeModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:LegacyModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:BlockModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:BlockAnimationModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:CollisionModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:BlockSetModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:MigrationModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:BlockHealthModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:PrefabSpawnerModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:TimeModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:AnchorActionModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:InteractionModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:EntityModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:EntityStatsModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:EntityUIModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:DamageModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:SplitVelocity
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:StaminaModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:DebugPlugin
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:ProjectileModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:ServerPlayerListModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:VoiceModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:AccessControlModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:SingleplayerModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Universe
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:TelemetryModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:ConnectedBlocksModule
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:DiscoveryModule
[2026/09/06 16:05:12   INFO]          [PluginManager] Loading pending classpath plugins!
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:AssetEditor
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:BlockSpawner
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:BlockTick
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:BlockPhysics
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:BuilderTools
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Crafting
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:CommandMacro
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:CompanionBlockSpawner
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:AugmentBlocks
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:GameFlags
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Instances
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:LANDiscovery
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:NPC
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:NPCObjectives
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:ObjectiveReputation
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Objectives
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:ObjectiveShop
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Path
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Reputation
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:NPCReputation
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Shop
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:ShopReputation
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:NPCShop
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:NPCEditor
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Stash
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Beam
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:TagSet
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Teleport
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Fluid
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Weather
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:WorldGen
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Farming
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Camera
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Wilderness
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:WorldLocationCondition
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:NPCCombatActionEvaluator
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Model
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Mantling
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:SafetyRoll
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:SprintForce
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:CrouchSlide
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:FallingBlocks
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Parkour
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Mounts
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:HytaleGenerator
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Teleporter
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Memories
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:GoblinLab
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Deployables
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Portals
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Beds
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:WorldEvents
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Ambience
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Audio
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:CreativeHub
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:RandomTick
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:ReactiveBlocks
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:TriggerVolumes
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Points
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Locate
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:EncounterManager
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:NPCKnockbackDebug
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Abilities
[2026/09/06 16:05:12   INFO]          [PluginManager] - Hytale:Rewards
[2026/09/06 16:05:12   INFO]          [PluginManager] Loading pending plugins from directory: mods
[2026/09/06 16:05:12   INFO]          [PluginManager] - InigmasGames:CanvasUI from path CanvasUI-0.1.0.jar
[2026/09/06 16:05:12   INFO]       [TelemetryStorage] Opened telemetry session file: telemetry\2026-09-06_16-05-12_525944cc.jsonl
[2026/09/06 16:05:12   INFO]       [TelemetryService] Telemetry service initialized with session ID: 525944cc-4f5d-43fc-8450-9fb4c79f45ce
[2026/09/06 16:05:13   INFO]          [AssetModule|P] Asset monitor enabled!
[2026/09/06 16:05:13   INFO]          [AssetModule|P] Loaded pack: Hytale:Hytale from Assets.zip
[2026/09/06 16:05:13   INFO]          [AssetModule|P] Loading packs from directory: mods
[2026/09/06 16:05:13   INFO]          [AssetModule|P] Loaded pack: InigmasGames:CanvasUI from CanvasUI-0.1.0.jar
[2026/09/06 16:05:13   WARN]          [AssetModule|P] Skipping pack at Hytale_HytaleGenerator: missing or invalid manifest.json
[2026/09/06 16:05:13   WARN]          [AssetModule|P] Skipping pack at Hytale_Shop: missing or invalid manifest.json
[2026/09/06 16:05:13   INFO]        [ConsoleModule|P] Setup console with type: dumb-color
[2026/09/06 16:05:13   INFO]           [I18nModule|P] Loaded 11377 bundled default translations from /bundledDefaults/server.lang
[2026/09/06 16:05:13   INFO]       [TelemetryService] Telemetry enabled
[2026/09/06 16:05:13   INFO]        [TelemetryModule] Server telemetry is enabled
[2026/09/06 16:05:13   INFO]          [VoiceModule|P] [Voice] Registered voice stream handler
[2026/09/06 16:05:13   INFO]          [VoiceModule|P] [Voice] VoiceModule initialized (maxDistance=32.0, refDistance=4.0, enabled=true, voiceStreamSupported=true)
[2026/09/06 16:05:14   INFO]         [CanvasUIPlugin] CANVASUI_SETUP revision=R005 version=0.1.0 hytale=0.7.0-pre.1 fixedZoom=1.0 input=PlayerMouseEvents
[2026/09/06 16:05:14   INFO]         [CanvasUIPlugin] CANVASUI_DEMO_SETUP revision=R005 bundled=true commands=/canvasui-demo,/canvasui-topology-proof
[2026/09/06 16:05:14   INFO]      [ServerAuthManager] Auth credential store: Encrypted
[2026/09/06 16:05:14   INFO]           [HytaleServer] Setup phase completed! Boot time 2sec 518ms 174us 700ns
