"category","id","relativeId","archivePath","bytes","sha256"
"item-animations","Combo_Test","_Debug/Combo_Test","Server/Item/Animations/_Debug/Combo_Test.json","13530","080DB04078C0CFBB9AFED423E23D8761280CD6F333DFF76E53C3E3A9D7D35385"
"item-animations","Axe","Axe","Server/Item/Animations/Axe.json","6927","506C79183D0EC4DC9D7A23E1CD1B2FC628D3DDDAEAFFE2798D0768C6CF689E68"
"item-animations","Battleaxe","Battleaxe","Server/Item/Animations/Battleaxe.json","23152","49C65027527C19CBA0FDB6F38904FE7394D7862CC2F37BB22246273F0CEA3FC6"
"item-animations","Block","Block","Server/Item/Animations/Block.json","11956","BE179DF81EAEA0576330F3C9C701B0A7D9B314ACA5B82CAE56DE185A8DEC0888"
"item-animations","Bow","Bow","Server/Item/Animations/Bow.json","16140","2D4242BE80652BE7BAC2FAC8E6CA1072AB96730D9BB76348F19DADE8DA246F9C"
"item-animations","Club","Club","Server/Item/Animations/Club.json","14701","6AC2B90355666996D06760AB29BC46C72219F4E206A73D0C70FAF974054FACE3"
"item-animations","Club_Flail","Club_Flail","Server/Item/Animations/Club_Flail.json","5156","DCB37C35CDFAE680E3CF39E0DCA3EC6C5E260BADDBF88213928D1110F1B4CEEE"
"item-animations","Crossbow","Crossbow","Server/Item/Animations/Crossbow.json","4460","45ADAAA8612A24C211BB8037FC9D759B03933866439896FAEB6D23E7C35C60C0"
"item-animations","Crossbow_Heavy","Crossbow_Heavy","Server/Item/Animations/Crossbow_Heavy.json","13328","DC442E92A3610D54FC812BF2D6DE04F706CBE66E25030C8CC19D1A930DE3E0BD"
"item-animations","Dagger","Dagger","Server/Item/Animations/Dagger.json","4394","776EBD6F549602A917A55272A0C80E7CF52E34293051462DC7B839A22B970658"
"item-animations","Daggers","Daggers","Server/Item/Animations/Daggers.json","30046","5DE589A1A666630612690EEF818D699324A50165F098D43733AB111043467890"
"item-animations","Daggers_Claw","Daggers_Claw","Server/Item/Animations/Daggers_Claw.json","2257","5C09EE0103353F2B41A06D39C6736BE44295F31F6F1897DD465CEBB1C2F12CFC"
"item-animations","Daggers_Push","Daggers_Push","Server/Item/Animations/Daggers_Push.json","15843","F3C11BDC32F1B32D981C62D8AF7F84C6D9194C20F41B2B6A61CCA38D6F3C009E"
