"category","id","relativeId","archivePath","bytes","sha256"
"npc-groups","Aquatic","Aquatic","Server/NPC/Groups/Aquatic.json","340","532CFBC8B1AC027E761EA6068EF1D3E0A9FDFD74718866C0E6EFC3B6DF0C6001"
"npc-groups","Bear_Voidtaken_Family","Bear_Voidtaken_Family","Server/NPC/Groups/Bear_Voidtaken_Family.json","206","835BD0D94F873E1F6C02466A32B69CBABE983261F1FDF04E73897E9CCA3E90E2"
"npc-groups","Birds","Birds","Server/NPC/Groups/Birds.json","273","F357242B9050C4D6837AC1CD24EAC26DA96B482F9D88CC1D1ECFC52330AA859D"
"npc-groups","Capture_Crate","Capture_Crate","Server/NPC/Groups/Capture_Crate.json","602","19CB05284A530EAC09541442C3FF26D4DC1458851052351C6C866A0CEA502ED4"
"npc-groups","Bison","Creature/Livestock/Bison","Server/NPC/Groups/Creature/Livestock/Bison.json","40","1AD05B9299C7F5D9A0F381FED3AE213844B02E7D96A05E42C4DDD14FAC600B92"
"npc-groups","Boar","Creature/Livestock/Boar","Server/NPC/Groups/Creature/Livestock/Boar.json","39","0A0AF5ADF01D6834F2F3E698A1BC8C98112A14299E865A12ACD3F515DB8062D1"
"npc-groups","Bunny","Creature/Livestock/Bunny","Server/NPC/Groups/Creature/Livestock/Bunny.json","39","AA8D42FACC3352815DAC8E223EAFA3633B7348AEBF9898D0065CE8D4EA7F103B"
"npc-groups","Camel","Creature/Livestock/Camel","Server/NPC/Groups/Creature/Livestock/Camel.json","58","EDC89EA9A1583613038BDEE0D51BE7DAEE0E4D8DCEE9604383B34C31E7B4635C"
"npc-groups","Chicken","Creature/Livestock/Chicken","Server/NPC/Groups/Creature/Livestock/Chicken.json","64","C4B622BA1026A080728F5463ADEDC41B246D45B142B3064E7B1F51BE01835EF8"
"npc-groups","Chicken_Desert","Creature/Livestock/Chicken_Desert","Server/NPC/Groups/Creature/Livestock/Chicken_Desert.json","50","FA3D17454CF92E0DA8A606FD9FED79D87F0D61F34F2B447230EC983B0B55BF4E"
"npc-groups","Cow","Creature/Livestock/Cow","Server/NPC/Groups/Creature/Livestock/Cow.json","38","D206C1840E9AEB856BA2E068C6ABE38343DF88352E416538AA63A8782B00A4D5"
"npc-groups","Goat","Creature/Livestock/Goat","Server/NPC/Groups/Creature/Livestock/Goat.json","39","21653FE91CE7D696060971643FF772459EC56C46F6AA1F17935F428574932802"
"npc-groups","Horse","Creature/Livestock/Horse","Server/NPC/Groups/Creature/Livestock/Horse.json","40","D34FAEBB97EB613F9E9E69FB299D23846122D03E3B453B94F26D7E399B90C6AE"
"npc-groups","Mouflon","Creature/Livestock/Mouflon","Server/NPC/Groups/Creature/Livestock/Mouflon.json","61","59997D5EB12A545E541F2C07C805B2B993E969198D40FA8A72D5E04ABE88CC39"
"npc-groups","Mouse","Creature/Livestock/Mouse","Server/NPC/Groups/Creature/Livestock/Mouse.json","39","5660A9D8A6D50378388A041B6DA88B1CDD197495829EC58637DA1E2447A92F30"
"npc-groups","Pig","Creature/Livestock/Pig","Server/NPC/Groups/Creature/Livestock/Pig.json","38","F9CCC1C92C99BF6CB1E6D614F38F0B487E9C5E8734A907913062C63DE87FC80C"
"npc-groups","Rabbit","Creature/Livestock/Rabbit","Server/NPC/Groups/Creature/Livestock/Rabbit.json","40","DCB76CACE16629D9FA53D5789F1B1FDDE19239F4899FF024FEBD46D5320A1511"
"npc-groups","Ram","Creature/Livestock/Ram","Server/NPC/Groups/Creature/Livestock/Ram.json","38","E828F3A61E8E7C6DE5574E56B8FC0AC0C349E823FAD073DC88B9C631895F6E58"
