"category","id","relativeId","archivePath","bytes","sha256"
"npc-roles","BlankTemplate","_Core/BlankTemplate","Server/NPC/Roles/_Core/BlankTemplate.json","775","AC0962E9B678AE41A08FCD9C28F7B3CC71CE37F4DC5F6B07941A7A45A005FA0F"
"npc-roles","Component_ActionList_Sleep","_Core/Components/ActionLists/Component_ActionList_Sleep","Server/NPC/Roles/_Core/Components/ActionLists/Component_ActionList_Sleep.json","234","5324D2B46FDDCA23A7B10BC21E7A401D691770A04032A4B689775656D32CBCC7"
"npc-roles","Component_ActionList_Wake","_Core/Components/ActionLists/Component_ActionList_Wake","Server/NPC/Roles/_Core/Components/ActionLists/Component_ActionList_Wake.json","227","3CA0C678B6BB30D9F75E4FCF648D48CA8E5214943BB621EB91A9632865F5D385"
"npc-roles","Component_Instruction_Attack_Sequence_Eye_Void","_Core/Components/Deprecated/Component_Instruction_Attack_Sequence_Eye_Void","Server/NPC/Roles/_Core/Components/Deprecated/Component_Instruction_Attack_Sequence_Eye_Void.json","898","5D57D9B349EF0FDB22C9BE2B871364F311B48E86DA57BDCA97F5FB5E173F9362"
"npc-roles","Component_Instruction_Attack_Sequence_Spirit","_Core/Components/Deprecated/Component_Instruction_Attack_Sequence_Spirit","Server/NPC/Roles/_Core/Components/Deprecated/Component_Instruction_Attack_Sequence_Spirit.json","868","1B1F51488AE6FDD4C0931C72183C5578503CFF56E7BBE233B08A91698E0587EC"
"npc-roles","Template_Instruction_Flock_Attack","_Core/Components/Flock/Template_Instruction_Flock_Attack","Server/NPC/Roles/_Core/Components/Flock/Template_Instruction_Flock_Attack.json","2637","F69824C3AA6E2752E6D03FDA6E516CAEC555E788995B175F1B0EC58D6451BCD2"
"npc-roles","Template_Instruction_Flock_Attack_State","_Core/Components/Flock/Template_Instruction_Flock_Attack_State","Server/NPC/Roles/_Core/Components/Flock/Template_Instruction_Flock_Attack_State.json","2908","78DBA66A42A98EEADD2ECD58724239160A2E64521C976999ED83544009616F3C"
"npc-roles","Template_Instruction_Flock_Join","_Core/Components/Flock/Template_Instruction_Flock_Join","Server/NPC/Roles/_Core/Components/Flock/Template_Instruction_Flock_Join.json","3217","ADFEB6362B342D40A284CF58E3402386C2CC57691E961B86B1D337DAFEBC78E6"
"npc-roles","Template_Instruction_Flock_Motion","_Core/Components/Flock/Template_Instruction_Flock_Motion","Server/NPC/Roles/_Core/Components/Flock/Template_Instruction_Flock_Motion.json","1509","29C0B8144D8265AAED9C9FA5520E72B5C1A906B3821212D14B19B850FDA617AD"
"npc-roles","Component_Instruction_Attack_Sequence_Temp","_Core/Components/Instructions/Combat/Component_Instruction_Attack_Sequence_Temp","Server/NPC/Roles/_Core/Components/Instructions/Combat/Component_Instruction_Attack_Sequence_Temp.json","870","57220857A116F68BA0BFF3124F0E56CCCF36E30E5883F1B064A9341454AA48D4"
"npc-roles","Component_Instruction_Attack_Sequence_Temp_Ranged","_Core/Components/Instructions/Combat/Component_Instruction_Attack_Sequence_Temp_Ranged","Server/NPC/Roles/_Core/Components/Instructions/Combat/Component_Instruction_Attack_Sequence_Temp_Ranged.json","902","776D6FD12BE22019D52AC6B294B1E5E7CDAFB7E439B3BC8DE24176B98065F84F"
"npc-roles","Component_Instruction_Combat_Back_Off","_Core/Components/Instructions/Combat/Component_Instruction_Combat_Back_Off","Server/NPC/Roles/_Core/Components/Instructions/Combat/Component_Instruction_Combat_Back_Off.json","4290","77BB7A944333DB0EE94625532A852B8FF822CE5EE9A1B4F94392FDF7FC355740"
"npc-roles","Component_Instruction_Combat_Flock_Take_Turns","_Core/Components/Instructions/Combat/Component_Instruction_Combat_Flock_Take_Turns","Server/NPC/Roles/_Core/Components/Instructions/Combat/Component_Instruction_Combat_Flock_Take_Turns.json","10667","7FC607197D27C213A28C7E89FECB3ABFC32F27A9307F9A671922514284C4BBE9"
