"category","id","relativeId","archivePath","bytes","sha256"
"sound-definitions","AmbFX_Placeholder","AmbienceFX/AmbFX_Placeholder","Server/Audio/AmbienceFX/AmbFX_Placeholder.json","200","F95775B61B1FDFCDD10F037F6EFE719AB487D8D27B27C874B4D77712EE50CD7B"
"sound-definitions","AmbFX_Void","AmbienceFX/AmbFX_Void","Server/Audio/AmbienceFX/AmbFX_Void.json","318","A7B376C09F4DCF52BD446E2C3DF9D049C56CDDAD5BFB233C0051E17ED242BD59"
"sound-definitions","AmbFX_Fallback_Wind_Base_Low","AmbienceFX/Ambience/Global/AmbFX_Fallback_Wind_Base_Low","Server/Audio/AmbienceFX/Ambience/Global/AmbFX_Fallback_Wind_Base_Low.json","292","12FC455EA0E757871C4FD9ED8AE8B7A70AB71413314A226FD5B1D9890A6EF183"
"sound-definitions","AmbFX_Caves","AmbienceFX/Ambience/Global/Cave/AmbFX_Caves","Server/Audio/AmbienceFX/Ambience/Global/Cave/AmbFX_Caves.json","851","F9B71D858FAAD1C52168D7CF67D736670B983F976060B664DC07F36B65EAA042"
"sound-definitions","AmbFX_Caves_Spiders","AmbienceFX/Ambience/Global/Cave/AmbFX_Caves_Spiders","Server/Audio/AmbienceFX/Ambience/Global/Cave/AmbFX_Caves_Spiders.json","485","9AFABE5E3A85A1A7643D608907749F4ACBB816B2139F067563BBE0BCF86D8396"
"sound-definitions","AmbFX_Caves_Volcanic","AmbienceFX/Ambience/Global/Cave/AmbFX_Caves_Volcanic","Server/Audio/AmbienceFX/Ambience/Global/Cave/AmbFX_Caves_Volcanic.json","490","81F64CA97AB47FA77E8083167CBFFD32D1081A19D37735B29D08CF36FF6F0CE9"
"sound-definitions","AmbFX_Dungeons","AmbienceFX/Ambience/Global/Dungeon/AmbFX_Dungeons","Server/Audio/AmbienceFX/Ambience/Global/Dungeon/AmbFX_Dungeons.json","329","164144130BD0E3E8034D09FE3845D0CD06D1F8FDB1D952A168AE13EE87278EF7"
"sound-definitions","AmbFX_Room","AmbienceFX/Ambience/Global/Interior/AmbFX_Room","Server/Audio/AmbienceFX/Ambience/Global/Interior/AmbFX_Room.json","810","7416E3FE31D10BFCB67AA84CD07B477AE08D1636634B41DD358114F758416DF0"
"sound-definitions","Emit_Fluid_Lava","AmbienceFX/Ambience/Global/Lava/Emitters/Emit_Fluid_Lava","Server/Audio/AmbienceFX/Ambience/Global/Lava/Emitters/Emit_Fluid_Lava.json","464","DD4550DDDF08941AB9BCB72F0CE5E5413EDB8DDB4DB37EEE5ABD82C80F41B109"
"sound-definitions","AmbFX_Mage_Tower","AmbienceFX/Ambience/Global/Mage_Tower/AmbFX_Mage_Tower","Server/Audio/AmbienceFX/Ambience/Global/Mage_Tower/AmbFX_Mage_Tower.json","274","87501A28CE98815D50FB37B04DFD19AB70606D178C19492E07E59F012BA80EE4"
"sound-definitions","AmbFX_Mineshaft","AmbienceFX/Ambience/Global/Mineshaft/AmbFX_Mineshaft","Server/Audio/AmbienceFX/Ambience/Global/Mineshaft/AmbFX_Mineshaft.json","480","63F3D008E12E2C1FC13EA1F2DE798B689F5B5197BC3A6330A65E0C32BBE7B16E"
"sound-definitions","Emit_Fluid_Water","AmbienceFX/Ambience/Global/Underwater/Emitters/Emit_Fluid_Water","Server/Audio/AmbienceFX/Ambience/Global/Underwater/Emitters/Emit_Fluid_Water.json","500","4141FA9411DA3D2B042AEA72F6B3EC183C422D285A5225C948947CCA7D0D1720"
"sound-definitions","AmbFX_Underwater","AmbienceFX/Ambience/Global/Underwater/Underwater/AmbFX_Underwater","Server/Audio/AmbienceFX/Ambience/Global/Underwater/Underwater/AmbFX_Underwater.json","423","C86D7AB4CF4695A7CC8C33CB9641EE46639A40AA0ED63696F33E6046F45ED6C9"
"sound-definitions","AmbFX_Rain","AmbienceFX/Ambience/Global/Weather/AmbFX_Rain","Server/Audio/AmbienceFX/Ambience/Global/Weather/AmbFX_Rain.json","101","B525697F4A8216B5871CA10A0B5C3F6EA8917008C05343C76D62F8BB8F354053"
"sound-definitions","Emit_Raindrops_Water","AmbienceFX/Ambience/Global/Weather/Emit_Raindrops_Water","Server/Audio/AmbienceFX/Ambience/Global/Weather/Emit_Raindrops_Water.json","408","47D8021D8931AB9E2966581C35EABA4E8046DA11CE07A9CB3D23BF7C727636D5"
"sound-definitions","Emit_Rainstorm_Thunder","AmbienceFX/Ambience/Global/Weather/Emit_Rainstorm_Thunder","Server/Audio/AmbienceFX/Ambience/Global/Weather/Emit_Rainstorm_Thunder.json","367","87C3028C58DF22915F92FCDB018A0BD62CBD48BA305D5BFA49EB68382E5D8EC7"
"sound-definitions","AmbFX_Weather_Rain_Exterior","AmbienceFX/Ambience/Global/Weather/Exterior/AmbFX_Weather_Rain_Exterior","Server/Audio/AmbienceFX/Ambience/Global/Weather/Exterior/AmbFX_Weather_Rain_Exterior.json","309","0041E25DCFC5D659B7F16570A82F2C0203C0A95ACE2BF09CF6E9977DD5C5BB82"
"sound-definitions","AmbFX_Weather_Rain_Exterior_Canopy","AmbienceFX/Ambience/Global/Weather/Exterior/AmbFX_Weather_Rain_Exterior_Canopy","Server/Audio/AmbienceFX/Ambience/Global/Weather/Exterior/AmbFX_Weather_Rain_Exterior_Canopy.json","430","19873C054009AE56AB1D0359EB3B57D747F5DE233EFD3267A7DD5B5CFE22F96F"
"sound-definitions","AmbFX_Weather_Rain_Light_Exterior","AmbienceFX/Ambience/Global/Weather/Exterior/AmbFX_Weather_Rain_Light_Exterior","Server/Audio/AmbienceFX/Ambience/Global/Weather/Exterior/AmbFX_Weather_Rain_Light_Exterior.json","311","BB36A42E88EA05BF5053DBC4848EFCD45A15782F910803A73962C443369BB547"
"sound-definitions","AmbFX_Weather_Rain_Light_Exterior_Canopy","AmbienceFX/Ambience/Global/Weather/Exterior/AmbFX_Weather_Rain_Light_Exterior_Canopy","Server/Audio/AmbienceFX/Ambience/Global/Weather/Exterior/AmbFX_Weather_Rain_Light_Exterior_Canopy.json","432","6AA1290AEB39C5D1615DF20701192748BA64F6C29C02526EF403BA15C4A75E9C"
"sound-definitions","AmbFX_Weather_Rainstorm","AmbienceFX/Ambience/Global/Weather/Exterior/AmbFX_Weather_Rainstorm","Server/Audio/AmbienceFX/Ambience/Global/Weather/Exterior/AmbFX_Weather_Rainstorm.json","311","6BCA57663B566059C67E991819AF1B2FF248AC811873FBD7A406907AA51C5B27"
"sound-definitions","AmbFX_Weather_Rainstorm_Canopy","AmbienceFX/Ambience/Global/Weather/Exterior/AmbFX_Weather_Rainstorm_Canopy","Server/Audio/AmbienceFX/Ambience/Global/Weather/Exterior/AmbFX_Weather_Rainstorm_Canopy.json","432","27CECB9C605F4A771066FFDA1E50CFFD0DDEA3715AE9D27CCAB51E6D6AEB2F22"
"sound-definitions","AmbFX_Weather_Sandstorm","AmbienceFX/Ambience/Global/Weather/Exterior/AmbFX_Weather_Sandstorm","Server/Audio/AmbienceFX/Ambience/Global/Weather/Exterior/AmbFX_Weather_Sandstorm.json","332","E58BB098AB14EC9F8AB2BCA338B998B7AB8D27356CA4D431C7FA442E9FA8E5CE"
"sound-definitions","AmbFX_Weather_Sandstorm_Close","AmbienceFX/Ambience/Global/Weather/Exterior/AmbFX_Weather_Sandstorm_Close","Server/Audio/AmbienceFX/Ambience/Global/Weather/Exterior/AmbFX_Weather_Sandstorm_Close.json","357","5713FD6DC39410316ECDB1014AE79B043B700B51CF1FA16AAB9AF46A32C0233B"
"sound-definitions","AmbFX_Weather_Sandstorm_Low","AmbienceFX/Ambience/Global/Weather/Exterior/AmbFX_Weather_Sandstorm_Low","Server/Audio/AmbienceFX/Ambience/Global/Weather/Exterior/AmbFX_Weather_Sandstorm_Low.json","308","FE671DE717081892995A1145D12C20C7ED9B1A51A92E37D0CC2956EA0FB2240A"
"sound-definitions","AmbFX_Weather_Snow","AmbienceFX/Ambience/Global/Weather/Exterior/AmbFX_Weather_Snow","Server/Audio/AmbienceFX/Ambience/Global/Weather/Exterior/AmbFX_Weather_Snow.json","331","3CBA75F78BCFD0E369506D7B1DF6FBAF1E5EE3F316A7D33842233D3B7DADFC64"
"sound-definitions","AmbFX_Weather_Snowstorm","AmbienceFX/Ambience/Global/Weather/Exterior/AmbFX_Weather_Snowstorm","Server/Audio/AmbienceFX/Ambience/Global/Weather/Exterior/AmbFX_Weather_Snowstorm.json","331","8423D7A33BA4C9423B8DCB4644DBACCDDE6364C2849B7D92620AA352F973D600"
"sound-definitions","AmbFX_Weather_Rain_Interior","AmbienceFX/Ambience/Global/Weather/Interior/AmbFX_Weather_Rain_Interior","Server/Audio/AmbienceFX/Ambience/Global/Weather/Interior/AmbFX_Weather_Rain_Interior.json","534","80723D39E34408357D3A380D19FA416B96B13A2EE2901FBE2030CA41D71AD204"
"sound-definitions","AmbFX_Weather_Rain_Interior_Cloth","AmbienceFX/Ambience/Global/Weather/Interior/AmbFX_Weather_Rain_Interior_Cloth","Server/Audio/AmbienceFX/Ambience/Global/Weather/Interior/AmbFX_Weather_Rain_Interior_Cloth.json","567","832692AAF564600BB8F09D7AC4BD204AB5E196DF2F24B593D4D74D0E1A0F6BFD"
"sound-definitions","AmbFX_Weather_Rain_Moderate_Interior","AmbienceFX/Ambience/Global/Weather/Interior/AmbFX_Weather_Rain_Moderate_Interior","Server/Audio/AmbienceFX/Ambience/Global/Weather/Interior/AmbFX_Weather_Rain_Moderate_Interior.json","537","A568E9991B5ABD6F038CF5DFCEBCAA90FF4D2EAC49BFC0FF95FCCE6EEFFFBF4A"
"sound-definitions","AmbFX_Weather_Rainstorm_Interior","AmbienceFX/Ambience/Global/Weather/Interior/AmbFX_Weather_Rainstorm_Interior","Server/Audio/AmbienceFX/Ambience/Global/Weather/Interior/AmbFX_Weather_Rainstorm_Interior.json","534","8F2957686E37E616A5DC9F5BE1ED146E3AF924887530B20FF6B672EAE058D791"
