"category","id","relativeId","archivePath","bytes","sha256"
"character-animations","Climb_Down","Climb/Climb_Down","Common/Characters/Animations/Climb/Climb_Down.blockyanim","34649","ABC9D96DC6B4AE1C62CDDADB0D4859B9225F3E81F9AA188628D14F70C23A278A"
"character-animations","Climb_Down_FPS","Climb/Climb_Down_FPS","Common/Characters/Animations/Climb/Climb_Down_FPS.blockyanim","4831","9BD3C2194F4A561B10D58DDA2AF4887245FC026AB0F717A3B8701624AC032C0D"
"character-animations","Climb_Idle","Climb/Climb_Idle","Common/Characters/Animations/Climb/Climb_Idle.blockyanim","18364","58E6D2B01ED843F3F99A4BF8427A7A3DC77D1787A2DB984CF8A03F8CC2943CF5"
"character-animations","Climb_Idle_FPS","Climb/Climb_Idle_FPS","Common/Characters/Animations/Climb/Climb_Idle_FPS.blockyanim","2544","DD8A0A7312716D745DC9AD4960A7702DD6804ABE0B024EB7D05EBB17D6D1C470"
"character-animations","Climb_Left","Climb/Climb_Left","Common/Characters/Animations/Climb/Climb_Left.blockyanim","30737","7EE73FCEDAF0E8B2CC682C728DCA387A66443F9896D8D0D7DEF535CA77027458"
"character-animations","Climb_Left_FPS","Climb/Climb_Left_FPS","Common/Characters/Animations/Climb/Climb_Left_FPS.blockyanim","4546","8BDC8117372F80DA368704CCAAC69207BA9BFD6DBC125C8AFF86BDB892EF507E"
"character-animations","Climb_Right","Climb/Climb_Right","Common/Characters/Animations/Climb/Climb_Right.blockyanim","30745","1E494B970E28AD940C4983E53AE0D07FCF4DBDDF5AA3FC2A7228E1E060EDF62D"
"character-animations","Climb_Right_FPS","Climb/Climb_Right_FPS","Common/Characters/Animations/Climb/Climb_Right_FPS.blockyanim","4546","08ED49DC6E014CDBB30B9F8DA41CFB1FC36D586CCAA7A8B3253F1FF6352207E8"
"character-animations","Climb_Up","Climb/Climb_Up","Common/Characters/Animations/Climb/Climb_Up.blockyanim","34622","A4BB2BC5B958997A280DCA6D90FA3ACE2C41D673745A813585A2A3AFA619A616"
"character-animations","Climb_Up_FPS","Climb/Climb_Up_FPS","Common/Characters/Animations/Climb/Climb_Up_FPS.blockyanim","4831","DD5780EFE8A9EAB860783FF694C7832D4E593E8EC14D26BB23D7A574224AAD75"
"character-animations","Hurt_Burn","Damage/Burn/Hurt_Burn","Common/Characters/Animations/Damage/Burn/Hurt_Burn.blockyanim","11403","AE959D0CC0EDDFFD619A693B8CDAAE8DFED718660C32C5595824BA6A13E5AE0C"
"character-animations","Death","Damage/Default/Death","Common/Characters/Animations/Damage/Default/Death.blockyanim","30019","99E267625759FE7E54ED08226A488E653B1EA8007C901777A6061E1617DA18E2"
"character-animations","Death2","Damage/Default/Death2","Common/Characters/Animations/Damage/Default/Death2.blockyanim","31670","F7CDCECD444AA8860298C075E36BEF0BA337125293FBAD85B0EE8C6ED5DD01A6"
"character-animations","Hurt","Damage/Default/Hurt","Common/Characters/Animations/Damage/Default/Hurt.blockyanim","16909","94DB5BBB25D52A2640CA8CAD7E2E302C61C6818F984E67C86035943EF76E6325"
"character-animations","Hurt2","Damage/Default/Hurt2","Common/Characters/Animations/Damage/Default/Hurt2.blockyanim","16860","AD789B4A378E3837EFF8A0F42F9B093FF2FB47AA957A1D44A2419B1C00D79F14"
"character-animations","Hurt3","Damage/Default/Hurt3","Common/Characters/Animations/Damage/Default/Hurt3.blockyanim","17431","B7E395189F1B97AD817438BF1363C8EE89198B582976914445B1D0786A57FFD3"
"character-animations","Hurt4","Damage/Default/Hurt4","Common/Characters/Animations/Damage/Default/Hurt4.blockyanim","16661","2AED142635038192FEF9E405CD2468E3409933AFF4EC1F80F31075BD01A3C9ED"
"character-animations","Death_Drown","Damage/Drown/Death_Drown","Common/Characters/Animations/Damage/Drown/Death_Drown.blockyanim","52197","5D7BDF286AD9B183FF9A6A74964CDD7AACF75F7A8E4CF87D1E06075F8AA17E63"
"character-animations","Hurt_Drown","Damage/Drown/Hurt_Drown","Common/Characters/Animations/Damage/Drown/Hurt_Drown.blockyanim","9824","70E3433879F870CC19C1B4AC76DA520493DF3CDFA204BCEEB3EF3F068A516177"
"character-animations","Death_Fall","Damage/Fall/Death_Fall","Common/Characters/Animations/Damage/Fall/Death_Fall.blockyanim","30118","8E7D2530DD2B62A60BBE3522028E1D1AD0B984D3798897E867F87B24F05A7053"
"character-animations","Death_Fall2","Damage/Fall/Death_Fall2","Common/Characters/Animations/Damage/Fall/Death_Fall2.blockyanim","36883","479F91541D4B73D794866B45DA7DFC9DF2F6B4A75B8BC2313BBAA1C4DDC272F2"
"character-animations","Hurt_Fall","Damage/Fall/Hurt_Fall","Common/Characters/Animations/Damage/Fall/Hurt_Fall.blockyanim","14851","A0B043624445767EAA4D22DC65D2D9220F7488FF178249A8E4FA14924123EF79"
"character-animations","Hurt_Fall2","Damage/Fall/Hurt_Fall2","Common/Characters/Animations/Damage/Fall/Hurt_Fall2.blockyanim","14828","0DBF7C96D6D4513BEDB33A990CAEC47723B624FE18FD9ED3E1A407B20E07F25A"
"character-animations","Death_Fly","Damage/Fly/Death_Fly","Common/Characters/Animations/Damage/Fly/Death_Fly.blockyanim","15427","B3EACD66ACB4C9A33396D70A1C13CCBA814CF4613F1BDAA11733F97CBE1546D5"
"character-animations","Death_Fly_Impact","Damage/Fly/Death_Fly_Impact","Common/Characters/Animations/Damage/Fly/Death_Fly_Impact.blockyanim","37281","73271BE4F5F692733F44FD9477EE6E699E0A52E0716C223F6BA9C9811F916B79"
