"skillId","family","sourceFile","targetContract","requirements","activationGate","connectedRetest"
"arcane_bolt","PROJECTILE","stage-05-projectiles.json","SPATIAL_EMPTY_ALLOWED","Aim, config, launch capacity, ammunition if authored, muzzle/path gates; no enemy required","","NOT_RUN"
"arcane_missiles","PROJECTILE","stage-13-projectiles-cohort-c.json","SPATIAL_EMPTY_ALLOWED","Aim, config, launch capacity, ammunition if authored, muzzle/path gates; no enemy required","","NOT_RUN"
"avalanche","BOMBARDMENT","stage-06-area-cohort-c.json","SPATIAL_EMPTY_ALLOWED","Ground/roof/aim/placement and bounded query gates as authored; zero enemies allowed","","NOT_RUN"
"axe_toss","PROJECTILE","stage-05-projectiles.json","SPATIAL_EMPTY_ALLOWED","Aim, config, launch capacity, ammunition if authored, muzzle/path gates; no enemy required","","NOT_RUN"
"backstab","STRIKE","stage-13-combat-cohort-e.json","SPATIAL_EMPTY_ALLOWED","Actor/equipment/resource/cooldown/capability and bounded native geometry; entities resolved at execution","","NOT_RUN"
"ball_lightning","ORB","stage-08-connections-cohort-a.json","SPATIAL_EMPTY_ALLOWED","Actor/equipment/resource/cooldown/capability and bounded native geometry; entities resolved at execution","","NOT_RUN"
"battle_cry","BURST","stage-09-support-cohort-b.json","SELF_OR_RECIPIENT_SET","Self/recipient-set support; native support gates, reservations and escrow unchanged","","NOT_RUN"
"blizzard","GROUND_ZONE","stage-06-area-cohort-b.json","SPATIAL_EMPTY_ALLOWED","Ground/roof/aim/placement and bounded query gates as authored; zero enemies allowed","","NOT_RUN"
"blunderbuss_shot","PROJECTILE","stage-13-projectiles-cohort-c.json","SPATIAL_EMPTY_ALLOWED","Aim, config, launch capacity, ammunition if authored, muzzle/path gates; no enemy required","","NOT_RUN"
"bomb_toss","PROJECTILE","stage-13-projectiles-cohort-c.json","SPATIAL_EMPTY_ALLOWED","Aim, config, launch capacity, ammunition if authored, muzzle/path gates; no enemy required","","NOT_RUN"
"bone_cage","WALL","stage-10-summons-cohort-g.json","SELECTIVE_COLLISION_GATED","Actor/equipment/resource/cooldown/capability and bounded native geometry; entities resolved at execution","BONE_CAGE_NATIVE_ENEMY_ONLY_COLLISION_UNVERIFIED","NOT_RUN"
"bone_shard","PROJECTILE","stage-13-projectiles-cohort-b.json","SPATIAL_EMPTY_ALLOWED","Aim, config, launch capacity, ammunition if authored, muzzle/path gates; no enemy required","","NOT_RUN"
"brood_call","SUMMON","stage-10-summons-cohort-c.json","PLACEMENT_NO_ENEMY_REQUIRED","Loaded safe placement and summon caps/assets","","NOT_RUN"
"chain_lightning","DIRECT_TARGET","stage-08-connections-cohort-b.json","ENTITY_REQUIRED","ConnectionProfile.requiresTarget; first aimed eligible entity","","NOT_RUN"
"charge","MOVEMENT","stage-13-movement-cohort-d.json","SPATIAL_EMPTY_ALLOWED","Movement direction and bounded native collision path; no enemy required","","NOT_RUN"
"chilling_aura","AURA","stage-09-support-cohort-d.json","SELF_OR_RECIPIENT_SET","Self/recipient-set support; native support gates, reservations and escrow unchanged","","NOT_RUN"
"cold_blast","PROJECTILE","stage-13-projectiles-cohort-b.json","SPATIAL_EMPTY_ALLOWED","Aim, config, launch capacity, ammunition if authored, muzzle/path gates; no enemy required","","NOT_RUN"
"cold_wave","CONE","stage-06-area-cohort-b.json","SPATIAL_EMPTY_ALLOWED","Ground/roof/aim/placement and bounded query gates as authored; zero enemies allowed","","NOT_RUN"
"comet","OVERHEAD","stage-06-area-cohort-c.json","SPATIAL_EMPTY_ALLOWED","Ground/roof/aim/placement and bounded query gates as authored; zero enemies allowed","","NOT_RUN"
"consume_minion","SUMMON","stage-10-summons-cohort-d.json","CONSUMABLE_REQUIRED","Specific corpse or owned eligible minion; durable consumption retained","","NOT_RUN"
"corpse_burst","CORPSE","stage-10-summons-cohort-d.json","CONSUMABLE_REQUIRED","Specific corpse or owned eligible minion; durable consumption retained","","NOT_RUN"
"crossbow_bolt","PROJECTILE","stage-13-projectiles-cohort-b.json","SPATIAL_EMPTY_ALLOWED","Aim, config, launch capacity, ammunition if authored, muzzle/path gates; no enemy required","","NOT_RUN"
"dagger_flurry","STRIKE","stage-13-strikes-cohort-a.json","SPATIAL_EMPTY_ALLOWED","Actor/equipment/resource/cooldown/capability and bounded native geometry; entities resolved at execution","","NOT_RUN"
"dive_strike","MOVEMENT","stage-13-movement-cohort-d.json","SPATIAL_EMPTY_ALLOWED","Loaded legal terrain/ground path; no enemy required","","NOT_RUN"
"dominate","DIRECT_TARGET","stage-10-summons-cohort-f.json","ENTITY_REQUIRED","Eligible native dominatable entity; range/aim/LOS/rank restrictions","","NOT_RUN"
"earthquake","GROUND_ZONE","stage-06-area-cohort-c.json","SPATIAL_EMPTY_ALLOWED","Ground/roof/aim/placement and bounded query gates as authored; zero enemies allowed","","NOT_RUN"
"emanatism","AURA","stage-09-support-cohort-a.json","SELF_OR_RECIPIENT_SET","Self/recipient-set support; native support gates, reservations and escrow unchanged","","NOT_RUN"
"execution_strike","STRIKE","stage-13-combat-cohort-e.json","SPATIAL_EMPTY_ALLOWED","Actor/equipment/resource/cooldown/capability and bounded native geometry; entities resolved at execution","","NOT_RUN"
"explosive_flask","PROJECTILE","stage-13-projectiles-cohort-c.json","SPATIAL_EMPTY_ALLOWED","Aim, config, launch capacity, ammunition if authored, muzzle/path gates; no enemy required","","NOT_RUN"
"finishing_strike","STRIKE","stage-13-combat-cohort-e.json","SPATIAL_EMPTY_ALLOWED","Actor/equipment/resource/cooldown/capability and bounded native geometry; entities resolved at execution","","NOT_RUN"
"fire_bolt","PROJECTILE","stage-05-projectiles.json","SPATIAL_EMPTY_ALLOWED","Aim, config, launch capacity, ammunition if authored, muzzle/path gates; no enemy required","","NOT_RUN"
"fireball","PROJECTILE","stage-13-projectiles-cohort-c.json","SPATIAL_EMPTY_ALLOWED","Aim, config, launch capacity, ammunition if authored, muzzle/path gates; no enemy required","","NOT_RUN"
"flame_weapon","BUFF","stage-09-support-cohort-c.json","SELF_OR_RECIPIENT_SET","Self/recipient-set support; native support gates, reservations and escrow unchanged","","NOT_RUN"
"frenzy","BUFF","stage-13-stance-cohort-f.json","SELF_STANCE_GATED","Actor/equipment/resource/cooldown/capability and bounded native geometry; entities resolved at execution","NATIVE_PER_ACTOR_BASIC_ATTACK_CADENCE_UNVERIFIED","NOT_RUN"
"frost_bolt","PROJECTILE","stage-05-projectiles.json","SPATIAL_EMPTY_ALLOWED","Aim, config, launch capacity, ammunition if authored, muzzle/path gates; no enemy required","","NOT_RUN"
"frost_nova","BURST","stage-06-area-cohort-a.json","SPATIAL_EMPTY_ALLOWED","Ground/roof/aim/placement and bounded query gates as authored; zero enemies allowed","","NOT_RUN"
"ground_slam","BURST","stage-06-area-cohort-a.json","SPATIAL_EMPTY_ALLOWED","Ground/roof/aim/placement and bounded query gates as authored; zero enemies allowed","","NOT_RUN"
"guard","REACTION","stage-13-movement-cohort-d.json","SELF_ARMED","Reaction state/assets/capability; triggers acquire attackers after activation","NATIVE_GUARD_HELD_ITEM_RELEASE_ROUTE_UNVERIFIED","NOT_RUN"
"heavy_swing","STRIKE","stage-04-skills.json","SPATIAL_EMPTY_ALLOWED","Actor/equipment/resource/cooldown/capability and bounded native geometry; entities resolved at execution","","NOT_RUN"
"hunter_s_mark","DIRECT_TARGET","stage-09-support-cohort-b.json","ENTITY_REQUIRED","Explicit hostile target eligibility/range/LOS","","NOT_RUN"
"intimidate","DIRECT_TARGET","stage-09-support-cohort-b.json","ENTITY_REQUIRED","Explicit hostile target eligibility/range/LOS","","NOT_RUN"
"jump_strike","MOVEMENT","stage-13-movement-cohort-d.json","SPATIAL_EMPTY_ALLOWED","Loaded legal terrain/ground path; no enemy required","","NOT_RUN"
"life_drain","BEAM","stage-08-connections-cohort-b.json","ENTITY_REQUIRED","ConnectionProfile.requiresTarget; first aimed eligible entity","","NOT_RUN"
"lightning_bolt","LINE","stage-08-connections-cohort-b.json","SPATIAL_EMPTY_ALLOWED","Actor/equipment/resource/cooldown/capability and bounded native geometry; entities resolved at execution","","NOT_RUN"
"managuard","AURA","stage-09-support-cohort-a.json","SELF_OR_RECIPIENT_SET","Self/recipient-set support; native support gates, reservations and escrow unchanged","","NOT_RUN"
"maul_swing","STRIKE","stage-13-strikes-cohort-a.json","SPATIAL_EMPTY_ALLOWED","Actor/equipment/resource/cooldown/capability and bounded native geometry; entities resolved at execution","","NOT_RUN"
"meteor","OVERHEAD","stage-06-area-cohort-c.json","SPATIAL_EMPTY_ALLOWED","Ground/roof/aim/placement and bounded query gates as authored; zero enemies allowed","","NOT_RUN"
"minor_heal","DIRECT_TARGET","stage-09-support-cohort-a.json","RECIPIENT_REQUIRED","Explicit valid ally recipient; native selector permits authored self fallback","","NOT_RUN"
"orbiting_shadow_blades","ORB","stage-08-connections-cohort-b.json","SPATIAL_EMPTY_ALLOWED","Actor/equipment/resource/cooldown/capability and bounded native geometry; entities resolved at execution","","NOT_RUN"
"pack_howl","BURST","stage-09-support-cohort-c.json","SELF_OR_RECIPIENT_SET","Self/recipient-set support; native support gates, reservations and escrow unchanged","","NOT_RUN"
"pedanticism","AURA","stage-09-support-cohort-d.json","SELF_OR_RECIPIENT_SET","Self/recipient-set support; native support gates, reservations and escrow unchanged","","NOT_RUN"
"poison_cloud","GROUND_ZONE","stage-06-area-cohort-b.json","SPATIAL_EMPTY_ALLOWED","Ground/roof/aim/placement and bounded query gates as authored; zero enemies allowed","","NOT_RUN"
"pounce","MOVEMENT","stage-04-skills.json","ENTITY_REQUIRED","Pounce authored target-directed leap; valid aimed entity retained","","NOT_RUN"
"powder_mine","TRAP","stage-06-area-cohort-b.json","SPATIAL_EMPTY_ALLOWED","Ground/roof/aim/placement and bounded query gates as authored; zero enemies allowed","","NOT_RUN"
"quick_shot","PROJECTILE","stage-05-projectiles.json","SPATIAL_EMPTY_ALLOWED","Aim, config, launch capacity, ammunition if authored, muzzle/path gates; no enemy required","","NOT_RUN"
"quick_slash","STRIKE","stage-04-skills.json","SPATIAL_EMPTY_ALLOWED","Actor/equipment/resource/cooldown/capability and bounded native geometry; entities resolved at execution","","NOT_RUN"
"quickstep","MOVEMENT","stage-04-skills.json","SPATIAL_EMPTY_ALLOWED","Movement direction and bounded native collision path; no enemy required","","NOT_RUN"
"reaping_storm","AURA","stage-09-support-cohort-d.json","SELF_OR_RECIPIENT_SET","Self/recipient-set support; native support gates, reservations and escrow unchanged","","NOT_RUN"
"reflective_hide","REACTION","stage-09-support-cohort-c.json","SELF_OR_RECIPIENT_SET","Self/recipient-set support; native support gates, reservations and escrow unchanged","","NOT_RUN"
